POD,FAR,FBIAS,POFD,TS,HSS,ACCURACY,OBS_RATE,FC_RATE,HITS,FALSE_ALARMS,MISSES,CORRECT_NEGATIVES,station,period,month,year,fog_type,n_obs
0.14285714285714285,0.9230769230769231,1.8571428571428572,0.0670391061452514,0.05263157894736842,0.053702656868287166,0.9032258064516129,0.03763440860215054,0.06989247311827956,2,24,12,334,AGADIR-MASSIRA,mensuel,1,2024,cf,372
0.2682926829268293,0.6071428571428571,0.6829268292682927,0.05537459283387622,0.1896551724137931,0.2468226192669,0.8649425287356322,0.11781609195402298,0.08045977011494253,11,17,30,290,AGADIR-MASSIRA,mensuel,2,2024,cf,348
0.2857142857142857,0.3939393939393939,0.4714285714285714,0.04304635761589404,0.24096385542168675,0.30448717948717946,0.8306451612903226,0.1881720430107527,0.08870967741935484,20,13,50,289,AGADIR-MASSIRA,mensuel,3,2024,cf,372
0.3541666666666667,0.6382978723404256,0.9791666666666666,0.09615384615384616,0.21794871794871795,0.2603071948261924,0.8305555555555556,0.13333333333333333,0.13055555555555556,17,30,31,282,AGADIR-MASSIRA,mensuel,4,2024,cf,360
0.3142857142857143,0.2786885245901639,0.4357142857142857,0.07327586206896551,0.2802547770700637,0.2713721139846079,0.696236559139785,0.3763440860215054,0.1639784946236559,44,17,96,215,AGADIR-MASSIRA,mensuel,5,2024,cf,372
0.474025974025974,0.18888888888888888,0.5844155844155844,0.0825242718446602,0.4269005847953216,0.41317365269461076,0.7277777777777777,0.42777777777777776,0.25,73,17,81,189,AGADIR-MASSIRA,mensuel,6,2024,cf,360
0.10062893081761007,0.1111111111111111,0.11320754716981132,0.009389671361502348,0.09937888198757763,0.1027944111776447,0.6102150537634409,0.4274193548387097,0.04838709677419355,16,2,143,211,AGADIR-MASSIRA,mensuel,7,2024,cf,372
0.30327868852459017,0.3018867924528302,0.4344262295081967,0.064,0.26811594202898553,0.27978837601594847,0.728494623655914,0.3279569892473118,0.1424731182795699,37,16,85,234,AGADIR-MASSIRA,mensuel,8,2024,cf,372
0.4396551724137931,0.2714285714285714,0.603448275862069,0.0778688524590164,0.37777777777777777,0.4037854889589905,0.7666666666666667,0.32222222222222224,0.19444444444444445,51,19,65,225,AGADIR-MASSIRA,mensuel,9,2024,cf,360
0.696,0.3829787234042553,1.128,0.21862348178137653,0.4860335195530726,0.46274842234152774,0.7526881720430108,0.33602150537634407,0.3790322580645161,87,54,38,193,AGADIR-MASSIRA,mensuel,10,2024,cf,372
0.4,0.5,0.8,0.05,0.2857142857142857,0.3835616438356164,0.8888888888888888,0.1111111111111111,0.08888888888888889,16,16,24,304,AGADIR-MASSIRA,mensuel,11,2024,cf,360
0.6153846153846154,0.5862068965517241,1.4871794871794872,0.1021021021021021,0.3287671232876712,0.42243346007604565,0.8682795698924731,0.10483870967741936,0.15591397849462366,24,34,15,299,AGADIR-MASSIRA,mensuel,12,2024,cf,372
0.37265917602996257,0.3942161339421613,0.6151685393258427,0.07791817087845969,0.29992464204973623,0.3390136935171577,0.7884790528233151,0.24316939890710382,0.14959016393442623,398,259,670,3065,AGADIR-MASSIRA,annuel,all,2024,cf,4392
0.0,1.0,8.666666666666666,0.07046070460704607,0.0,-0.014672686230248307,0.9220430107526881,0.008064516129032258,0.06989247311827956,0,26,3,343,AGADIR-MASSIRA,mensuel,1,2024,hc,372
0.3333333333333333,0.7142857142857143,1.1666666666666667,0.06172839506172839,0.18181818181818182,0.2521489971346705,0.896551724137931,0.06896551724137931,0.08045977011494253,8,20,16,304,AGADIR-MASSIRA,mensuel,2,2024,hc,348
0.38235294117647056,0.6060606060606061,0.9705882352941176,0.05917159763313609,0.24074074074074073,0.32751322751322753,0.8897849462365591,0.0913978494623656,0.08870967741935484,13,20,21,318,AGADIR-MASSIRA,mensuel,3,2024,hc,372
0.7333333333333333,0.7659574468085106,3.1333333333333333,0.10434782608695652,0.21568627450980393,0.3113342898134864,0.8888888888888888,0.041666666666666664,0.13055555555555556,11,36,4,309,AGADIR-MASSIRA,mensuel,4,2024,hc,360
0.29850746268656714,0.6721311475409836,0.9104477611940298,0.13442622950819672,0.18518518518518517,0.17002180416814563,0.7634408602150538,0.18010752688172044,0.1639784946236559,20,41,47,264,AGADIR-MASSIRA,mensuel,5,2024,hc,372
0.48936170212765956,0.4888888888888889,0.9574468085106383,0.16541353383458646,0.3333333333333333,0.3284671532846715,0.7444444444444445,0.2611111111111111,0.25,46,44,48,222,AGADIR-MASSIRA,mensuel,6,2024,hc,360
0.09876543209876543,0.5555555555555556,0.2222222222222222,0.03436426116838488,0.08791208791208792,0.08952583156404813,0.7768817204301075,0.21774193548387097,0.04838709677419355,8,10,73,281,AGADIR-MASSIRA,mensuel,7,2024,hc,372
0.3275862068965517,0.6415094339622641,0.9137931034482759,0.10828025477707007,0.20652173913043478,0.22729342135215114,0.803763440860215,0.15591397849462366,0.1424731182795699,19,34,39,280,AGADIR-MASSIRA,mensuel,8,2024,hc,372
0.59375,0.45714285714285713,1.09375,0.10810810810810811,0.3958333333333333,0.4684317718940937,0.8388888888888889,0.17777777777777778,0.19444444444444445,38,32,26,264,AGADIR-MASSIRA,mensuel,9,2024,hc,360
0.7619047619047619,0.5460992907801419,1.6785714285714286,0.2673611111111111,0.39751552795031053,0.3987202559488102,0.739247311827957,0.22580645161290322,0.3790322580645161,64,77,20,211,AGADIR-MASSIRA,mensuel,10,2024,hc,372
0.5,0.65625,1.4545454545454546,0.0621301775147929,0.2558139534883721,0.3611357586512866,0.9111111111111111,0.06111111111111111,0.08888888888888889,11,21,11,317,AGADIR-MASSIRA,mensuel,11,2024,hc,360
0.8461538461538461,0.8103448275862069,4.461538461538462,0.1309192200557103,0.18333333333333332,0.26806938644394473,0.8682795698924731,0.03494623655913978,0.15591397849462366,11,47,2,312,AGADIR-MASSIRA,mensuel,12,2024,hc,372
0.44543828264758495,0.6210045662100456,1.1753130590339893,0.10644403861205322,0.25749741468459153,0.31538079774284183,0.8365209471766849,0.12727686703096538,0.14959016393442623,249,408,310,3425,AGADIR-MASSIRA,annuel,all,2024,hc,4392
0.3163265306122449,0.24390243902439024,0.41836734693877553,0.12195121951219512,0.28703703703703703,0.18393782383419688,0.5722222222222222,0.5444444444444444,0.22777777777777777,62,20,134,144,TETOUAN,mensuel,6,2024,cf,360
0.1337579617834395,0.16,0.1592356687898089,0.018604651162790697,0.13043478260869565,0.12988271460554016,0.6236559139784946,0.4220430107526882,0.06720430107526881,21,4,136,211,TETOUAN,mensuel,7,2024,cf,372
0.5506329113924051,0.09375,0.6075949367088608,0.04455445544554455,0.5209580838323353,0.5286724273369993,0.7777777777777778,0.4388888888888889,0.26666666666666666,87,9,71,193,TETOUAN,mensuel,9,2024,cf,360
0.2987551867219917,0.2087912087912088,0.3775933609958506,0.1450381679389313,0.27692307692307694,0.12187036990532633,0.4946236559139785,0.6478494623655914,0.2446236559139785,72,19,169,112,TETOUAN,mensuel,10,2024,cf,372
0.41522491349480967,0.1891891891891892,0.5121107266435986,0.39436619718309857,0.3785488958990536,0.011925991975033438,0.4527777777777778,0.8027777777777778,0.4111111111111111,120,28,169,43,TETOUAN,mensuel,11,2024,cf,360
0.3,0.37209302325581395,0.4777777777777778,0.16666666666666666,0.25471698113207547,0.1355453582774444,0.5752688172043011,0.4838709677419355,0.23118279569892472,54,32,126,160,TETOUAN,mensuel,12,2024,cf,372
0.3088235294117647,0.7307692307692307,1.1470588235294117,0.1875,0.168,0.11477210323997804,0.7204301075268817,0.1827956989247312,0.20967741935483872,21,57,47,247,TETOUAN,mensuel,1,2024,cf,372
0.3088235294117647,0.7878787878787878,1.4558823529411764,0.2785714285714286,0.14383561643835616,0.025799516259070142,0.6408045977011494,0.19540229885057472,0.28448275862068967,21,78,47,202,TETOUAN,mensuel,2,2024,cf,348
0.05172413793103448,0.8571428571428571,0.3620689655172414,0.05732484076433121,0.039473684210526314,-0.007569011576135352,0.803763440860215,0.15591397849462366,0.056451612903225805,3,18,55,296,TETOUAN,mensuel,3,2024,cf,372
0.28415300546448086,0.3333333333333333,0.4262295081967213,0.14689265536723164,0.24880382775119617,0.13593835993395706,0.5638888888888889,0.5083333333333333,0.21666666666666667,52,26,131,151,TETOUAN,mensuel,4,2024,cf,360
0.28292682926829266,0.15942028985507245,0.33658536585365856,0.0658682634730539,0.26851851851851855,0.2018251446264157,0.5752688172043011,0.5510752688172043,0.18548387096774194,58,11,147,156,TETOUAN,mensuel,5,2024,cf,372
0.31669439822518025,0.3459335624284078,0.4841930116472546,0.13622011727559766,0.27125890736342045,0.18960581022466444,0.618407960199005,0.44850746268656716,0.2171641791044776,571,302,1232,1915,TETOUAN,annuel,all,2024,cf,4020
0.37894736842105264,0.4782608695652174,0.7263157894736842,0.11913357400722022,0.28125,0.285481648503069,0.7526881720430108,0.2553763440860215,0.18548387096774194,36,33,59,244,TETOUAN,mensuel,5,2024,hc,372
0.4074074074074074,0.5975609756097561,1.0123456790123457,0.17562724014336917,0.25384615384615383,0.23076923076923078,0.7305555555555555,0.225,0.22777777777777777,33,49,48,230,TETOUAN,mensuel,6,2024,hc,360
0.21978021978021978,0.2,0.27472527472527475,0.017793594306049824,0.20833333333333334,0.2676027148852391,0.7956989247311828,0.2446236559139785,0.06720430107526881,20,5,71,276,TETOUAN,mensuel,7,2024,hc,372
0.72,0.4375,1.28,0.14736842105263157,0.46153846153846156,0.5190839694656488,0.825,0.20833333333333334,0.26666666666666666,54,42,21,243,TETOUAN,mensuel,9,2024,hc,360
0.3805309734513274,0.5274725274725275,0.8053097345132744,0.18532818532818532,0.2670807453416149,0.20653627851487655,0.6827956989247311,0.30376344086021506,0.2446236559139785,43,48,70,211,TETOUAN,mensuel,10,2024,hc,372
0.5109489051094891,0.527027027027027,1.0802919708029197,0.34977578475336324,0.32558139534883723,0.15871583290355853,0.5972222222222222,0.38055555555555554,0.4111111111111111,70,78,67,145,TETOUAN,mensuel,11,2024,hc,360
0.4423076923076923,0.7325581395348837,1.6538461538461537,0.196875,0.2,0.19267786374787696,0.7526881720430108,0.13978494623655913,0.23118279569892472,23,63,29,257,TETOUAN,mensuel,12,2024,hc,372
0.5416666666666666,0.8333333333333334,3.25,0.1867816091954023,0.14606741573033707,0.17333333333333334,0.7956989247311828,0.06451612903225806,0.20967741935483872,13,65,11,283,TETOUAN,mensuel,1,2024,hc,372
0.23529411764705882,0.9595959595959596,5.823529411764706,0.28700906344410876,0.03571428571428571,-0.015728879520025944,0.6896551724137931,0.04885057471264368,0.28448275862068967,4,95,13,236,TETOUAN,mensuel,2,2024,hc,348
0.07142857142857142,0.9047619047619048,0.75,0.055232558139534885,0.0425531914893617,0.018296973961998593,0.8790322580645161,0.07526881720430108,0.056451612903225805,2,19,26,325,TETOUAN,mensuel,3,2024,hc,372
0.4507042253521127,0.5897435897435898,1.0985915492957747,0.15916955017301038,0.27350427350427353,0.2810826050183253,0.7638888888888888,0.19722222222222222,0.21666666666666667,32,46,39,243,TETOUAN,mensuel,4,2024,hc,360
0.42091836734693877,0.6219931271477663,1.1135204081632653,0.16779975278121137,0.24868123587038432,0.24268122070731005,0.7519900497512437,0.19502487562189055,0.2171641791044776,330,543,454,2693,TETOUAN,annuel,all,2024,hc,4020
0.3925925925925926,0.11666666666666667,0.4444444444444444,0.029535864978902954,0.3732394366197183,0.41235356762513314,0.760752688172043,0.3629032258064516,0.16129032258064516,53,7,82,230,TANGER-AERO,mensuel,8,2024,cf,372
0.34545454545454546,0.2830188679245283,0.4818181818181818,0.06,0.304,0.33390046788600597,0.7583333333333333,0.3055555555555556,0.14722222222222223,38,15,72,235,TANGER-AERO,mensuel,9,2024,cf,360
0.1891891891891892,0.125,0.21621621621621623,0.017857142857142856,0.18421052631578946,0.19760645699972168,0.6666666666666666,0.3978494623655914,0.08602150537634409,28,4,120,220,TANGER-AERO,mensuel,10,2024,cf,372
0.3770491803278688,0.28125,0.5245901639344263,0.030100334448160536,0.32857142857142857,0.4279145252907763,0.8694444444444445,0.16944444444444445,0.08888888888888889,23,9,38,290,TANGER-AERO,mensuel,11,2024,cf,360
0.13043478260869565,0.7,0.43478260869565216,0.04294478527607362,0.1,0.11553363860514265,0.8548387096774194,0.12365591397849462,0.053763440860215055,6,14,40,312,TANGER-AERO,mensuel,12,2024,cf,372
0.16279069767441862,0.5333333333333333,0.3488372093023256,0.0243161094224924,0.13725490196078433,0.19313812481514345,0.8817204301075269,0.11559139784946236,0.04032258064516129,7,8,36,321,TANGER-AERO,mensuel,1,2024,cf,372
0.03333333333333333,0.625,0.08888888888888889,0.01937984496124031,0.031578947368421054,0.019838354151359296,0.735632183908046,0.25862068965517243,0.022988505747126436,3,5,87,253,TANGER-AERO,mensuel,2,2024,cf,348
0.0916030534351145,0.25,0.12213740458015267,0.016597510373443983,0.08888888888888889,0.0937970371544007,0.6693548387096774,0.3521505376344086,0.043010752688172046,12,4,119,237,TANGER-AERO,mensuel,3,2024,cf,372
0.30434782608695654,0.2631578947368421,0.41304347826086957,0.01592356687898089,0.27450980392156865,0.38481433585811936,0.8972222222222223,0.12777777777777777,0.05277777777777778,14,5,32,309,TANGER-AERO,mensuel,4,2024,cf,360
0.25316455696202533,0.16666666666666666,0.3037974683544304,0.013651877133105802,0.24096385542168675,0.32116788321167883,0.8306451612903226,0.21236559139784947,0.06451612903225806,20,4,59,289,TANGER-AERO,mensuel,5,2024,cf,372
0.2785714285714286,0.23529411764705882,0.36428571428571427,0.05454545454545454,0.2565789473684211,0.2533039647577093,0.6861111111111111,0.3888888888888889,0.14166666666666666,39,12,101,208,TANGER-AERO,mensuel,6,2024,cf,360
0.2894736842105263,0.05714285714285714,0.30701754385964913,0.007751937984496124,0.28448275862068967,0.34926656550328783,0.7768817204301075,0.3064516129032258,0.09408602150537634,33,2,81,256,TANGER-AERO,mensuel,7,2024,cf,372
0.24146981627296588,0.24383561643835616,0.3193350831146107,0.027393044013542627,0.22402597402597402,0.27466985077597117,0.7823315118397086,0.26024590163934425,0.0831056466302368,276,89,867,3160,TANGER-AERO,annuel,all,2024,cf,4392
0.4657534246575342,0.43333333333333335,0.821917808219178,0.08695652173913043,0.3434343434343434,0.4061302681992337,0.8252688172043011,0.19623655913978494,0.16129032258064516,34,26,39,273,TANGER-AERO,mensuel,8,2024,hc,372
0.6190476190476191,0.5094339622641509,1.2619047619047619,0.08490566037735849,0.37681159420289856,0.47962888261395725,0.8805555555555555,0.11666666666666667,0.14722222222222223,26,27,16,291,TANGER-AERO,mensuel,9,2024,hc,360
0.3,0.4375,0.5333333333333333,0.04487179487179487,0.24324324324324326,0.31437598736176936,0.8494623655913979,0.16129032258064516,0.08602150537634409,18,14,42,298,TANGER-AERO,mensuel,10,2024,hc,372
0.9285714285714286,0.59375,2.2857142857142856,0.05491329479768786,0.3939393939393939,0.5403472931562819,0.9444444444444444,0.03888888888888889,0.08888888888888889,13,19,1,327,TANGER-AERO,mensuel,11,2024,hc,360
