POD,FAR,FBIAS,POFD,TS,HSS,ACCURACY,OBS_RATE,FC_RATE,HITS,FALSE_ALARMS,MISSES,CORRECT_NEGATIVES,station,period,month,year,fog_type,n_obs
0.0,1.0,0.21428571428571427,0.008379888268156424,0.0,-0.013461538461538462,0.9543010752688172,0.03763440860215054,0.008064516129032258,0,3,14,355,AGADIR-MASSIRA,mensuel,1,2024,cf,372
0.1951219512195122,0.3333333333333333,0.2926829268292683,0.013029315960912053,0.17777777777777778,0.2625429553264605,0.8936781609195402,0.11781609195402298,0.034482758620689655,8,4,33,303,AGADIR-MASSIRA,mensuel,2,2024,cf,348
0.08571428571428572,0.14285714285714285,0.1,0.0033112582781456954,0.08450704225352113,0.12593984962406016,0.8252688172043011,0.1881720430107527,0.01881720430107527,6,1,64,301,AGADIR-MASSIRA,mensuel,3,2024,cf,372
0.10416666666666667,0.6666666666666666,0.3125,0.03205128205128205,0.08620689655172414,0.1016949152542373,0.8527777777777777,0.13333333333333333,0.041666666666666664,5,10,43,302,AGADIR-MASSIRA,mensuel,4,2024,cf,360
0.08571428571428572,0.3684210526315789,0.1357142857142857,0.03017241379310345,0.08163265306122448,0.06702831240246712,0.6370967741935484,0.3763440860215054,0.051075268817204304,12,7,128,225,AGADIR-MASSIRA,mensuel,5,2024,cf,372
0.14285714285714285,0.3333333333333333,0.21428571428571427,0.05339805825242718,0.13333333333333333,0.09930715935334873,0.6027777777777777,0.42777777777777776,0.09166666666666666,22,11,132,195,AGADIR-MASSIRA,mensuel,6,2024,cf,360
0.0440251572327044,0.125,0.050314465408805034,0.004694835680751174,0.04375,0.04471299093655589,0.5887096774193549,0.4274193548387097,0.021505376344086023,7,1,152,212,AGADIR-MASSIRA,mensuel,7,2024,cf,372
0.10655737704918032,0.3157894736842105,0.1557377049180328,0.024,0.1015625,0.10532039484691316,0.6908602150537635,0.3279569892473118,0.051075268817204304,13,6,109,244,AGADIR-MASSIRA,mensuel,8,2024,cf,372
0.1896551724137931,0.21428571428571427,0.2413793103448276,0.02459016393442623,0.18032786885245902,0.20606916019760058,0.7222222222222222,0.32222222222222224,0.07777777777777778,22,6,94,238,AGADIR-MASSIRA,mensuel,9,2024,cf,360
0.376,0.2033898305084746,0.472,0.048582995951417005,0.34306569343065696,0.37651309173526015,0.7580645161290323,0.33602150537634407,0.1586021505376344,47,12,78,235,AGADIR-MASSIRA,mensuel,10,2024,cf,372
0.125,0.375,0.2,0.009375,0.11627906976744186,0.1778846153846154,0.8944444444444445,0.1111111111111111,0.022222222222222223,5,3,35,317,AGADIR-MASSIRA,mensuel,11,2024,cf,360
0.3333333333333333,0.35,0.5128205128205128,0.021021021021021023,0.2826086956521739,0.39788110653325487,0.9112903225806451,0.10483870967741936,0.053763440860215055,13,7,26,326,AGADIR-MASSIRA,mensuel,12,2024,cf,372
0.149812734082397,0.30735930735930733,0.21629213483146068,0.021359807460890494,0.14047410008779632,0.17499240184566076,0.7770947176684881,0.24316939890710382,0.05259562841530055,160,71,908,3253,AGADIR-MASSIRA,annuel,all,2024,cf,4392
